PSTAR: Stopping Powers and Range Tables for Protons

AIR (dry, near sea level)                                               

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 1.197E+02 2.163E+01 1.414E+02 
1.500E-03 1.467E+02 1.840E+01 1.651E+02 
2.000E-03 1.693E+02 1.614E+01 1.855E+02 
2.500E-03 1.893E+02 1.446E+01 2.038E+02 
3.000E-03 2.074E+02 1.314E+01 2.206E+02 
4.000E-03 2.395E+02 1.120E+01 2.507E+02 
5.000E-03 2.678E+02 9.825E+00 2.776E+02 
6.000E-03 2.933E+02 8.786E+00 3.021E+02 
7.000E-03 3.168E+02 7.970E+00 3.248E+02 
8.000E-03 3.387E+02 7.310E+00 3.460E+02 
9.000E-03 3.592E+02 6.762E+00 3.660E+02 
1.000E-02 3.787E+02 6.300E+00 3.850E+02 
1.250E-02 4.170E+02 5.404E+00 4.224E+02 
1.500E-02 4.504E+02 4.751E+00 4.552E+02 
1.750E-02 4.801E+02 4.253E+00 4.843E+02 
2.000E-02 5.067E+02 3.858E+00 5.106E+02 
2.250E-02 5.307E+02 3.536E+00 5.343E+02 
2.500E-02 5.526E+02 3.269E+00 5.558E+02 
2.750E-02 5.724E+02 3.042E+00 5.755E+02 
3.000E-02 5.905E+02 2.848E+00 5.934E+02 
3.500E-02 6.221E+02 2.531E+00 6.246E+02 
4.000E-02 6.483E+02 2.282E+00 6.506E+02 
4.500E-02 6.700E+02 2.082E+00 6.721E+02 
5.000E-02 6.877E+02 1.917E+00 6.897E+02 
5.500E-02 7.020E+02 1.777E+00 7.038E+02 
6.000E-02 7.132E+02 1.659E+00 7.149E+02 
6.500E-02 7.217E+02 1.556E+00 7.233E+02 
7.000E-02 7.278E+02 1.466E+00 7.293E+02 
7.500E-02 7.319E+02 1.387E+00 7.333E+02 
8.000E-02 7.341E+02 1.316E+00 7.355E+02 
8.500E-02 7.348E+02 1.253E+00 7.360E+02 
9.000E-02 7.340E+02 1.196E+00 7.352E+02 
9.500E-02 7.320E+02 1.145E+00 7.332E+02 
1.000E-01 7.290E+02 1.098E+00 7.301E+02 
1.250E-01 7.029E+02 9.142E-01 7.038E+02 
1.500E-01 6.672E+02 7.861E-01 6.680E+02 
1.750E-01 6.291E+02 6.914E-01 6.298E+02 
2.000E-01 5.922E+02 6.183E-01 5.928E+02 
2.250E-01 5.583E+02 5.600E-01 5.589E+02 
2.500E-01 5.278E+02 5.124E-01 5.284E+02 
2.750E-01 5.006E+02 4.727E-01 5.011E+02 
